求赠送手机iPhone一部|1元
灰色note2换黑色iphone5,诚心的朋友请联系我!|1元
出Iphone5,全新未开封国行16G,黑色。|3500元
全新苹果iPhone5 港行白色16G|3000元
全新iPhone5C转让3800元(发票包装齐全)|3800元
苹果iphone5白色九新,3500急转|3500元
3650刚买黑色 苹果 iPhone5 国行 16g|3650元
港行 白色IPhone5 16G 98新 自用|3200元
苹果耳机加数据线|50元
全新未拆封港行黑色32Giphone5|4400元
苹果耳机数据线|50元
苹果iphone5白色16g九成新国行3500急转|3500元
iphone5 16g|4300元
白色 苹果 iPhone5 16GB 港版正品发票 保修期内|3600元
iphone 5 黑色港版16G,几乎无掉漆。价格可议|3500元
国行苹果 iphone5 32GB 诚心处理非诚勿扰哦|3500元
个人自用九五成新苹果5 iphone5 白色16G 港行|3500元
苹果5黑色16G转让|3100元
自用转让在保iphone5 16G 国行黑色|3500元
没拆没激活IPHONE516G|3600元
自用的白色苹果5 国行16G移动联通插卡即用全国支持可刀|3500元
全新iphone 5 16GB 黑色 电信版 未开包装转让|4600元
白色 苹果 iPhone5 16GB 国行正品发票 保修期内|3550元
iPhone5 32G内存白色 诚心可以便宜|3500元
女士很爱惜的苹果5白色16g|3700元
iphone516g 港行 全新没拆封|3600元
白色 苹果 iPhone5 16GB 港版正品发票 在保修期|4400元
北京苹果实体店暑期促销苹果5、4s、4手机特价|2700元
转让苹果牌5手机|3500元
苹果5日版带锁白色16G 价格小砍|3000元
95成新 iphone5白色 16G 个人|3500元
iPhone5黑色32G国行未激活|4600元
转让自用iphone5 九成新|3600元
iphone5黑色|3750元
出iPhone5白色全新港版|3600元
国行 未拆封 白色 苹果 iPhone5 64G|5400元
白色国行iPhone5|3800元
超高仿苹果5全新,外观,速度,电池续航给力|800元
苹果五代国行32g在保修|3900元
转让精仿苹果 iphone5c|600元
厂家直销全新高端精仿 s4三星系列 iphone5 4s|680元
全新未拆封未激活苹果iPhone5c|4100元
个人使用几乎全新 白色iphone5 苹果5|2500元
白色苹果iPhone516GB国行正品发票在保修期内|3900元
自用95成新苹果iPhone516GB白色转让|3600元
诚意转让未拆封iphone 5,32G,黑色,港行|5000元
95成新iphone5黑色国行电信版|3500元
出个港行黑色iPhone5,16G的,还有4个月保修,有照片|3500元
IPHONE5 16G 白色3千4转 几乎全新无划痕|4000元
转让一部从售后换的新iphone5,黑色|3700元
自用港行7100卖或者换iphone5|2400元
99新苹果iPhone5 黑色16G 一口价3100|3100元
iphone5 ipad 全新充电器、数据线、耳机、耳机转接|10元
转让IPHONE5 16G 港行无锁|4000元
自用iPhone5转让,白色16G,9.5成新,日版|3000元
个人求购iphone5或4s|2500元
单位发的iPhone5,保证行货,换大屏的忍痛出售爱机|4200元
黑色苹果iPhone516GB(联通合约机)国行正品发票在保修期内|4350元
转让全新正品 IYON iphone5抗菌保护套(磨砂透白)|45元
家中闲置一部高仿iPhone5智能机,急转|900元
个人转原装iPhone5 数据线iPad mini 数据线|75元
出售个人自用二手白色iphone5 16G 港行在保|3600元
三网 黑色 16g iphone5|3500元
个人急转两台白色国行苹果五代16G|3350元
iphone5c,颜色齐全,原厂未拆封|3400元
苹果 iPhone5 32GB 美版(无锁) 白色|4300元
黑色苹果iPhone516GB国行正品发票保修期内|3700元
黑色苹果5国行再保保到明年4月|3550元
全新未拆封iphone5 国行 白色 32G|4350元
95新note2(N7100)转让或换购黑色iphone5|2600元
iPhone5粉色。|3700元
99新美版无锁iphone5,3600|3600元
急!iphone5标版,购买半年9成新,求换电信版或者卖出!|3500元
自用iphone5白色|3800元
全新洛克ROCK纹皮套 蓝绿色 iphone5/5s|40元
国行iPhone5 32g 有保修 低价出售|4000元
全新iphone5C 蓝色一台|3350元
换手机了!售iphone5黑色16G/勉强9成新 - 340|3450元
求购正品iPhone5的进来看看|1700元
黑色联通版32g,iphone5,3700|3700元
黑色苹果iPhone516GB国行正品发票在保修期内|4200元
转让国行iPhone5配件加耳机|250元
